City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
274,Adrar,MR,20.5022,-10.0711,95.47,28,1,19.15,clear sky
275,Klaksvik,FO,62.2266,-6.589,47.32,77,96,19.37,overcast clouds
276,Khandyga,RU,62.6667,135.6,68.68,76,73,0.27,broken clouds
277,Balurghat,IN,25.2167,88.7667,80.49,87,54,4.09,broken clouds
278,Manaure,CO,11.7751,-72.4445,87.71,57,67,22.84,broken clouds
279,Pacific Grove,US,36.6177,-121.9166,81.39,77,0,10.0,clear sky
280,Bud,US,39.447,-86.1758,84.22,81,100,9.8,overcast clouds
281,Kutum,SD,14.2,24.6667,78.4,53,66,7.87,broken clouds
282,Lukovetskiy,RU,64.2956,41.9211,59.97,84,95,5.53,overcast clouds
283,Uarini,BR,-2.99,-65.1083,81.03,78,80,2.17,broken clouds
284,Geraldton,AU,-28.7667,114.6,48.61,93,100,6.91,overcast clouds
285,Berlevag,NO,70.8578,29.0864,58.8,82,40,8.05,scattered clouds
286,Kaduna,NG,10.5222,7.4383,68.77,96,62,4.34,broken clouds
287,Longyearbyen,SJ,78.2186,15.6401,46.47,96,100,0.43,overcast clouds
288,Talara,PE,-4.5772,-81.2719,77.76,61,75,11.5,broken clouds
289,Muisne,EC,0.6,-80.0333,75.9,83,93,9.24,overcast clouds
290,Naron,ES,43.5167,-8.1528,68.85,83,100,15.19,overcast clouds
291,Laguna,US,38.421,-121.4238,102.15,20,0,11.5,clear sky
292,Loudi,CN,27.7344,111.9944,78.98,78,95,1.81,overcast clouds
293,Arlit,NE,18.7369,7.3853,89.51,40,63,6.67,light rain
294,Cedral,MX,23.8,-100.7333,86.81,21,2,5.93,clear sky
295,Tambun,ID,-6.2641,107.0712,80.04,88,85,2.75,overcast clouds
296,Goderich,CA,43.7501,-81.7165,75.52,83,91,3.44,overcast clouds
297,Caravelas,BR,-17.7125,-39.2481,69.17,78,15,5.66,few clouds
298,Dali,CN,25.7,100.1833,63.3,97,100,2.42,overcast clouds
299,Kruisfontein,ZA,-34.0033,24.7314,52.23,91,71,4.47,broken clouds
300,Yamoussoukro,CI,6.8206,-5.2767,75.09,88,20,2.3,few clouds
301,Dinghai,CN,26.2847,119.7936,81.52,82,19,5.08,few clouds
302,Ginda,IN,30.6945,78.4932,65.95,87,92,2.8,overcast clouds
303,Nova Olimpia,BR,-14.7972,-57.2881,84.31,24,7,1.12,clear sky
304,Ilulissat,GL,69.2167,-51.1,44.62,93,100,12.66,overcast clouds
305,Ribeira Grande,PT,38.5167,-28.7,75.6,94,40,3.44,scattered clouds
306,Alice Springs,AU,-23.7,133.8833,51.35,71,19,5.75,few clouds
307,Mayumba,GA,-3.432,10.6554,68.41,92,37,7.2,scattered clouds
