City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
400,Waingapu,ID,69.51,clear sky,-9.6567,120.2641,Kambaniru Beach Hotel and Resort
402,Amapa,BR,77.7,broken clouds,1.0,-52.0,Hotel Santa Bárbara
403,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,The Adventures Inn-Peleliu
404,Banganan,PH,72.28,overcast clouds,16.3144,121.0544,"Holiday Inn Baguio City Centre, an IHG Hotel"
407,Sept-Iles,CA,65.05,overcast clouds,50.2001,-66.3821,Château Arnaud
409,Nioro,GM,77.07,overcast clouds,13.35,-15.75,Bintang Bolong Lodge
410,Peddapalli,IN,76.8,overcast clouds,18.6167,79.3667,Hotel Swetha
411,Shitanjing,CN,75.52,clear sky,39.2342,106.3439,Yingbin Hotel
413,Chapais,CA,64.18,scattered clouds,49.7834,-74.8492,Hôtel Opémiska
414,Mezen,RU,60.91,overcast clouds,65.8522,44.24,Gostevoy Dom Everest
416,Poum,NC,74.73,clear sky,-20.2333,164.0167,Karem Bay
417,Dunedin,NZ,56.16,overcast clouds,-45.8742,170.5036,The Victoria Hotel Dunedin
418,Port Lincoln,AU,51.98,broken clouds,-34.7333,135.8667,Port Lincoln Hotel
419,Vandra,EE,71.26,few clouds,58.6481,25.0361,Pargi Hostel
420,Abalak,RU,58.21,overcast clouds,58.1286,68.5944,Туристический комплекс Абалак
421,Mizan Teferi,ET,62.19,overcast clouds,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
425,Taltal,CL,60.66,broken clouds,-25.4,-70.4833,Hotel Gali
426,Salamanca,ES,74.98,scattered clouds,40.8333,-6.0,Palacio Carrascalino
428,Viedma,AR,44.47,scattered clouds,-40.8135,-62.9967,Hotel Austral Viedma
429,Mandalgovi,MN,63.72,overcast clouds,45.7625,106.2708,Mandal Hotel
430,Ponta Do Sol,PT,74.03,clear sky,32.6667,-17.1,Dazkarizeh73 Boutique Residence & SPA (5831/AL)
432,Soe,ID,58.6,scattered clouds,-9.8607,124.284,Dena Hotel
434,Tukan,RU,52.25,few clouds,53.8409,57.4552,"Turbaza, Khostel, Gornyy Priyut ""Aygir"""
435,Namibe,AO,62.01,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
437,Itarema,BR,77.67,clear sky,-2.9248,-39.9167,White Wind Resort
438,Ahipara,NZ,57.43,clear sky,-35.1667,173.1667,The Huts
440,Kaa-Khem,RU,51.91,clear sky,51.6833,94.7333,AZIMUT Hotel Kyzyl
441,Harsin,IR,77.81,clear sky,34.2721,47.5861,Laleh Bisotun Hotel
